CountryName,CountryISO3,Year,MetricName,Value,DataType,Source
Algeria,DZA,2019,InternetPenetration_Percent,69.6,Actual,Gov Stats
Algeria,DZA,2020,InternetPenetration_Percent,70.7,Actual,WB Data
Algeria,DZA,2021,InternetPenetration_Percent,21.4,Actual,WB Data
Algeria,DZA,2022,InternetPenetration_Percent,23.0,Estimate,WB Estimate
Algeria,DZA,2023,InternetPenetration_Percent,51.3,Estimate,GSMA Est
Algeria,DZA,2024,InternetPenetration_Percent,51.0,Estimate,Internal Estimate
Algeria,DZA,2025,InternetPenetration_Percent,NA,NA,NA
Algeria,DZA,2019,MobilePhoneUsage_SubscriptionsPer100,80.4,Actual,WB Data
Algeria,DZA,2020,MobilePhoneUsage_SubscriptionsPer100,83.0,Estimate,GSMA Est
Algeria,DZA,2021,MobilePhoneUsage_SubscriptionsPer100,104.5,Estimate,GSMA Est
Algeria,DZA,2022,MobilePhoneUsage_SubscriptionsPer100,82.2,Estimate,GSMA Est
Algeria,DZA,2023,MobilePhoneUsage_SubscriptionsPer100,87.9,Estimate,WB Estimate
Algeria,DZA,2024,MobilePhoneUsage_SubscriptionsPer100,NA,NA,NA
Algeria,DZA,2025,MobilePhoneUsage_SubscriptionsPer100,NA,NA,NA
Algeria,DZA,2019,BroadbandAccess_FixedSubscriptionsPer100,28.1,Estimate,WB Estimate
Algeria,DZA,2020,BroadbandAccess_FixedSubscriptionsPer100,37.3,Estimate,Internal Estimate
Algeria,DZA,2021,BroadbandAccess_FixedSubscriptionsPer100,72.1,Estimate,GSMA Est
Algeria,DZA,2022,BroadbandAccess_FixedSubscriptionsPer100,20.2,Estimate,WB Estimate
Algeria,DZA,2023,BroadbandAccess_FixedSubscriptionsPer100,NA,NA,NA
Algeria,DZA,2024,BroadbandAccess_FixedSubscriptionsPer100,NA,NA,NA
Algeria,DZA,2025,BroadbandAccess_FixedSubscriptionsPer100,NA,NA,NA
Algeria,DZA,2019,ElectricityAccess_PercentPopulation,40.4,Actual,Gov Stats
Algeria,DZA,2020,ElectricityAccess_PercentPopulation,97.1,Actual,Gov Stats
Algeria,DZA,2021,ElectricityAccess_PercentPopulation,40.9,Actual,WB Data
Algeria,DZA,2022,ElectricityAccess_PercentPopulation,72.0,Actual,Gov Stats
Algeria,DZA,2023,ElectricityAccess_PercentPopulation,73.4,Estimate,WB Estimate
Algeria,DZA,2024,ElectricityAccess_PercentPopulation,73.3,Estimate,Internal Estimate
Algeria,DZA,2025,ElectricityAccess_PercentPopulation,NA,NA,NA
Algeria,DZA,2019,CloudInfra_Score,NA,NA,NA
Algeria,DZA,2020,CloudInfra_Score,NA,NA,NA
Algeria,DZA,2021,CloudInfra_Score,52.5,Estimate,Internal Estimate
Algeria,DZA,2022,CloudInfra_Score,NA,NA,NA
Algeria,DZA,2023,CloudInfra_Score,59.5,Estimate,GSMA Est
Algeria,DZA,2024,CloudInfra_Score,NA,NA,NA
Algeria,DZA,2025,CloudInfra_Score,NA,NA,NA
Algeria,DZA,2019,GDPPerCapita_USD_Current,808,Estimate,Internal Estimate
Algeria,DZA,2020,GDPPerCapita_USD_Current,803,Actual,Gov Stats
Algeria,DZA,2021,GDPPerCapita_USD_Current,7356,Estimate,GSMA Est
Algeria,DZA,2022,GDPPerCapita_USD_Current,NA,NA,NA
